                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0662,                  1.046,                 1.1673,                0.73147,                 0.6211,                0.69296,                0.48421,                 1.1075,                 1.0167,                 1.1589,               0.006733,               0.006733,               0.006733
                     35,                 1.0564,                 1.0359,                 1.1626,                0.73815,                0.62035,                0.69655,                0.48783,                 1.1076,                 1.0062,                 1.1598,               0.006634,               0.006634,               0.006634
                     36,                 1.0628,                 1.0396,                 1.1623,                0.73703,                0.61808,                0.69644,                0.49058,                 1.1036,                 1.0078,                 1.1557,               0.006535,               0.006535,               0.006535
                     37,                 1.0506,                 1.0213,                 1.1576,                0.74949,                0.61423,                 0.7002,                0.49251,                 1.1032,                0.99954,                 1.1571,               0.006436,               0.006436,               0.006436
                     38,                 1.0521,                   1.01,                 1.1555,                0.74543,                0.61482,                0.69791,                0.49142,                 1.0986,                 1.0008,                 1.1521,               0.006337,               0.006337,               0.006337
                     39,                  1.049,                 1.0068,                 1.1514,                0.73512,                0.62399,                0.69912,                0.49254,                 1.1006,                0.99319,                 1.1522,               0.006238,               0.006238,               0.006238
                     40,                 1.0453,                  1.001,                   1.15,                0.74531,                0.62301,                0.70171,                0.49428,                 1.0979,                0.99096,                 1.1514,               0.006139,               0.006139,               0.006139
                     41,                 1.0445,                 0.9965,                 1.1522,                0.74289,                0.62103,                0.70375,                0.49655,                 1.0963,                0.98664,                  1.151,                0.00604,                0.00604,                0.00604
                     42,                 1.0393,                0.99296,                 1.1483,                0.74514,                0.62132,                0.70332,                0.49641,                 1.0933,                 0.9835,                 1.1471,               0.005941,               0.005941,               0.005941
                     43,                 1.0311,                0.98226,                 1.1414,                0.75821,                0.60791,                0.70386,                0.49722,                 1.0898,                0.98651,                 1.1465,               0.005842,               0.005842,               0.005842
                     44,                 1.0256,                0.98183,                 1.1443,                0.74002,                0.62734,                0.70518,                0.49943,                 1.0915,                0.98162,                 1.1469,               0.005743,               0.005743,               0.005743
                     45,                 1.0272,                 0.9717,                 1.1412,                0.74425,                0.62417,                0.70607,                0.49911,                 1.0896,                0.97463,                 1.1474,               0.005644,               0.005644,               0.005644
                     46,                  1.026,                0.96678,                 1.1406,                0.75389,                0.62333,                0.70865,                0.49987,                 1.0935,                0.97136,                 1.1481,               0.005545,               0.005545,               0.005545
                     47,                 1.0214,                0.95687,                 1.1388,                0.74248,                0.63321,                0.70984,                0.49972,                 1.0921,                0.96609,                 1.1478,               0.005446,               0.005446,               0.005446
                     48,                  1.012,                0.94747,                 1.1308,                0.75181,                  0.625,                0.71071,                 0.5011,                 1.0877,                0.96321,                  1.144,               0.005347,               0.005347,               0.005347
                     49,                 1.0135,                0.95101,                 1.1325,                0.74333,                0.63361,                0.71187,                0.50432,                 1.0832,                0.96228,                  1.144,               0.005248,               0.005248,               0.005248
                     50,                 1.0117,                0.94531,                 1.1304,                0.75955,                0.62544,                0.71247,                 0.5052,                 1.0848,                0.96293,                 1.1446,               0.005149,               0.005149,               0.005149
                     51,                 1.0059,                0.93396,                  1.127,                0.76286,                0.62508,                0.71256,                 0.5048,                  1.087,                0.96444,                 1.1446,                0.00505,                0.00505,                0.00505
                     52,                0.99963,                0.93205,                 1.1242,                0.75365,                0.63491,                0.71434,                0.50627,                 1.0856,                0.96157,                 1.1445,               0.004951,               0.004951,               0.004951
                     53,                 1.0007,                0.91961,                 1.1221,                 0.7583,                0.63725,                0.71382,                0.50599,                 1.0831,                0.95955,                 1.1431,               0.004852,               0.004852,               0.004852
                     54,                0.99185,                0.91044,                 1.1186,                0.75271,                0.63562,                0.71388,                 0.5056,                 1.0822,                0.95971,                 1.1419,               0.004753,               0.004753,               0.004753
                     55,                0.99599,                0.91259,                 1.1213,                0.74641,                0.63607,                0.71338,                0.50699,                 1.0832,                0.95923,                 1.1431,               0.004654,               0.004654,               0.004654
                     56,                0.99152,                0.90555,                 1.1154,                0.75515,                0.63624,                0.71539,                0.50794,                 1.0833,                 0.9559,                 1.1427,               0.004555,               0.004555,               0.004555
                     57,                0.98479,                0.89608,                  1.115,                0.74345,                0.64446,                0.71609,                 0.5082,                 1.0848,                 0.9525,                 1.1444,               0.004456,               0.004456,               0.004456
                     58,                0.97814,                0.88912,                 1.1112,                0.75031,                0.63944,                0.71615,                 0.5082,                 1.0855,                0.95174,                 1.1443,               0.004357,               0.004357,               0.004357
